Station-Code,Station-Lat,Station-Lon,Sample,Habitat,Region,Province,City,Highly-Urbanized,Sampling-Year,Election-Flag,"Voter-Precinct-Cluster-Ratio_2016,19,22",Macro_Count,Waste-Generation_City-Munic,Sampling-Start,Sampling-End,Monsoon,River_dist_endpoint_km,River_dist_startpoint_km,River_dist_min_km,KBA_dist_km,Landfill_dist_km,Trigger_species,Basin_HubName,Catchment_area_km2,G_catchment_mean,Elevation_sd,Stream_length_total_km_so1,Stream_number_all,Basin_length_km_constrained,Basin_elongation_ratio_constrained,Basin_drainage_density,Basin_length_overland_flow,Popu_dens_city_2020,Population_region_2020,"Poverty_prov-city_2018,21,23",HDI_2015,GRDP_2017-22,GRDP_percapita_2017-22,"Gini_2015,18,21",Metro_Manila,"Income-Gap_2015,18,21",Labor-Participation_2017-22,Sanitation-Level_2020,GVA_AFF_2017-2022,AFF_2017-2022,GVA_AFF_2017-2022,AFSA_2017-2022
ESQ2020A03,8.520472,124.612778,Beach Surface Litter,Beach,Region X (Northern Mindanao),Misamis Oriental,City of Cagayan de Oro,Yes,2019,TRUE,760.3043137,67,509.8814000,2019-03-00,2019-04-00,Northeast,2.769463657,0.545524991,0.545524991,55.40494781,14.1578429,16,Iponan,417.21909,19.342167,219.24884,182.59488,72,40.680443,0.56656724,0.83336991,0.59997368,1764.539729,"5,022,768",0.09,0.708,885223.985,0.17624226,0.4059,No,0.19,0.687,0.969305,182869.141,0.206579514,25218.266,0.028488006
ESQ2020A04,8.511694,124.643028,Beach Surface Litter,Beach,Region X (Northern Mindanao),Misamis Oriental,City of Cagayan de Oro,Yes,2019,TRUE,760.3043137,133,509.8814000,2019-03-00,2019-04-00,Northeast,2.794555464,3.45470685,2.794555464,52.14964528,15.10286702,6,Cagayan_de_Oro,1354.0911,16.160948,481.42502,899.97748,300,67.834045,0.61211252,1.1379489,0.43938705,1764.539729,"5,022,768",0.09,0.708,885223.985,0.17624226,0.4059,No,0.19,0.687,0.969305,182869.141,0.206579514,25218.266,0.028488006
ESQ2020A05,8.511722,124.642972,Beach Surface Litter,Beach,Region X (Northern Mindanao),Misamis Oriental,City of Cagayan de Oro,Yes,2019,TRUE,760.3043137,2,509.8814000,2019-03-00,2019-04-00,Northeast,2.801207478,3.448201679,2.801207478,52.15652785,15.10145281,6,Cagayan_de_Oro,1354.0911,16.160948,481.42502,899.97748,300,67.834045,0.61211252,1.1379489,0.43938705,1764.539729,"5,022,768",0.09,0.708,885223.985,0.17624226,0.4059,No,0.19,0.687,0.969305,182869.141,0.206579514,25218.266,0.028488006
ESQ2020A06,8.51175,124.642944,Beach Surface Litter,Beach,Region X (Northern Mindanao),Misamis Oriental,City of Cagayan de Oro,Yes,2019,TRUE,760.3043137,133,509.8814000,2019-03-00,2019-04-00,Northeast,2.805570819,3.444756987,2.805570819,52.16056501,15.10195915,6,Cagayan_de_Oro,1354.0911,16.160948,481.42502,899.97748,300,67.834045,0.61211252,1.1379489,0.43938705,1764.539729,"5,022,768",0.09,0.708,885223.985,0.17624226,0.4059,No,0.19,0.687,0.969305,182869.141,0.206579514,25218.266,0.028488006
ESQ2020A07,8.503306,124.663833,Beach Surface Litter,Beach,Region X (Northern Mindanao),Misamis Oriental,City of Cagayan de Oro,Yes,2019,TRUE,760.3043137,133,509.8814000,2019-03-00,2019-04-00,Northeast,0.969892912,4.970307452,0.969892912,49.67837068,15.97999305,6,Cagayan_de_Oro,1354.0911,16.160948,481.42502,899.97748,300,67.834045,0.61211252,1.1379489,0.43938705,1764.539729,"5,022,768",0.09,0.708,885223.985,0.17624226,0.4059,No,0.19,0.687,0.969305,182869.141,0.206579514,25218.266,0.028488006
ESQ2020A08,8.503306,124.663861,Beach Surface Litter,Beach,Region X (Northern Mindanao),Misamis Oriental,City of Cagayan de Oro,Yes,2019,TRUE,760.3043137,167,509.8814000,2019-03-00,2019-04-00,Northeast,0.970586632,4.972211681,0.970586632,49.67552586,15.9822494,6,Cagayan_de_Oro,1354.0911,16.160948,481.42502,899.97748,300,67.834045,0.61211252,1.1379489,0.43938705,1764.539729,"5,022,768",0.09,0.708,885223.985,0.17624226,0.4059,No,0.19,0.687,0.969305,182869.141,0.206579514,25218.266,0.028488006
ESQ2020A09,8.503306,124.663917,Beach Surface Litter,Beach,Region X (Northern Mindanao),Misamis Oriental,City of Cagayan de Oro,Yes,2019,TRUE,760.3043137,167,509.8814000,2019-03-00,2019-04-00,Northeast,0.972001921,4.976023683,0.972001921,49.66983631,15.98676292,6,Cagayan_de_Oro,1354.0911,16.160948,481.42502,899.97748,300,67.834045,0.61211252,1.1379489,0.43938705,1764.539729,"5,022,768",0.09,0.708,885223.985,0.17624226,0.4059,No,0.19,0.687,0.969305,182869.141,0.206579514,25218.266,0.028488006
ESQ2020A10,8.480194,124.722333,Beach Surface Litter,Beach,Region X (Northern Mindanao),Misamis Oriental,City of Cagayan de Oro,Yes,2019,TRUE,760.3043137,133,509.8814000,2019-03-00,2019-04-00,Northeast,1.745295456,1.235685755,1.235685755,42.74973203,10.64505623,6,Cagayan_de_Oro,1354.0911,16.160948,481.42502,899.97748,300,67.834045,0.61211252,1.1379489,0.43938705,1764.539729,"5,022,768",0.09,0.708,885223.985,0.17624226,0.4059,No,0.19,0.687,0.969305,182869.141,0.206579514,25218.266,0.028488006
ESQ2020A11,8.480167,124.722278,Beach Surface Litter,Beach,Region X (Northern Mindanao),Misamis Oriental,City of Cagayan de Oro,Yes,2019,TRUE,760.3043137,2,509.8814000,2019-03-00,2019-04-00,Northeast,1.738548649,1.241390628,1.241390628,42.75415454,10.64943217,6,Cagayan_de_Oro,1354.0911,16.160948,481.42502,899.97748,300,67.834045,0.61211252,1.1379489,0.43938705,1764.539729,"5,022,768",0.09,0.708,885223.985,0.17624226,0.4059,No,0.19,0.687,0.969305,182869.141,0.206579514,25218.266,0.028488006
ESQ2020A12,8.480139,124.72225,Beach Surface Litter,Beach,Region X (Northern Mindanao),Misamis Oriental,City of Cagayan de Oro,Yes,2019,TRUE,760.3043137,2,509.8814000,2019-03-00,2019-04-00,Northeast,1.734360734,1.245642289,1.245642289,42.75579459,10.65103665,6,Cagayan_de_Oro,1354.0911,16.160948,481.42502,899.97748,300,67.834045,0.61211252,1.1379489,0.43938705,1764.539729,"5,022,768",0.09,0.708,885223.985,0.17624226,0.4059,No,0.19,0.687,0.969305,182869.141,0.206579514,25218.266,0.028488006
GAB2022A01,8.301472222,124.2540556,Seagrass Surface Litter,Seagrass Bed,Region X (Northern Mindanao),Lanao del Norte,City of Iligan,Yes,2021,FALSE,634.6426887,3,260.4710000,7/8/21,8/19/21,Southeast,0.818950052,4.610887181,0.818950052,43.28699535,29.47849447,6,Mandulog,776.0307,16.620279,318.45187,341.53012,162,52.358467,0.60035425,0.81322724,0.61483431,446.4327428,"5,022,768",0.16,0.599,948892.065,0.188918155,0.4128,No,0.257,0.698,0.969305,222758.347,0.234756254,16278.095,0.017154844
GAB2022A02,8.265361111,124.2498611,Seagrass Surface Litter,Seagrass Bed,Region X (Northern Mindanao),Lanao del Norte,City of Iligan,Yes,2021,FALSE,634.6426887,1,260.4710000,7/8/21,8/19/21,Southeast,0.92135929,1.646549543,0.92135929,39.7890001,27.03703075,6,Mandulog,776.0307,16.620279,318.45187,341.53012,162,52.358467,0.60035425,0.81322724,0.61483431,446.4327428,"5,022,768",0.16,0.599,948892.065,0.188918155,0.4128,No,0.257,0.698,0.969305,222758.347,0.234756254,16278.095,0.017154844
GAB2022A03,8.213888889,124.2234444,Seagrass Surface Litter,Seagrass Bed,Region X (Northern Mindanao),Lanao del Norte,City of Iligan,Yes,2021,FALSE,634.6426887,3,260.4710000,7/8/21,8/19/21,Southeast,3.936568167,1.911363947,1.911363947,33.5215402,22.14057362,6,Agus,1894.0713,9.1455641,371.28189,953.10675,340,72.147339,0.68066418,0.84995461,0.58826673,446.4327428,"5,022,768",0.16,0.599,948892.065,0.188918155,0.4128,No,0.257,0.698,0.969305,222758.347,0.234756254,16278.095,0.017154844
GAB2022A04,8.195638889,124.1835278,Seagrass Surface Litter,Seagrass Bed,Region X (Northern Mindanao),Lanao del Norte,City of Iligan,Yes,2021,FALSE,634.6426887,3,260.4710000,7/8/21,8/19/21,Southeast,0.9224377,1.867083818,0.9224377,29.24232718,17.34480553,6,Agus,1894.0713,9.1455641,371.28189,953.10675,340,72.147339,0.68066418,0.84995461,0.58826673,446.4327428,"5,022,768",0.16,0.599,948892.065,0.188918155,0.4128,No,0.257,0.698,0.969305,222758.347,0.234756254,16278.095,0.017154844
GOM2023A01,14.28523,120.70441,Beach Surface Litter,Beach,Region IV-A (CALABARZON),Cavite,Ternate,No,2019,TRUE,822.7025268,6,7.6940000,5/1/19,6/1/19,Southeast,0.853401931,0.593852511,0.593852511,5.383387409,14.97229857,3,Ternate,284.29669,7.8142858,163.28027,229.32784,68,29.853477,0.63730311,1.2343085,0.40508509,411.3632571,"16,195,042",0.05,0.748,2865792.547,0.176954932,0.3952,No,0.205,0.64,0.987139,154281.235,0.053835451,48771.442,0.017018483
GOM2023A02,14.324969,120.754345,Beach Surface Litter,Beach,Region IV-A (CALABARZON),Cavite,Naic,No,2019,TRUE,822.7025268,63,101.5192000,5/1/19,6/1/19,Southeast,4.26320478,0.739536726,0.739536726,12.31360063,8.35747584,3,Ternate,284.29669,7.8142858,163.28027,229.32784,68,29.853477,0.63730311,1.2343085,0.40508509,2123.558897,"16,195,042",0.05,0.748,2865792.547,0.176954932,0.3952,No,0.205,0.64,0.987139,154281.235,0.053835451,48771.442,0.017018483
GOM2023A03,14.442292,120.875152,Beach Surface Litter,Beach,Region IV-A (CALABARZON),Cavite,Noveleta,No,2019,TRUE,822.7025268,65,15.5617000,5/1/19,6/1/19,Southeast,0.228760128,0.143358841,0.143358841,30.69823992,11.9069752,3,Marikina_Pasig,3960.9763,7.2246151,204.45786,2280.5215,767,87.473007,0.81186181,0.97594637,0.5123232,3009.860012,"16,195,042",0.05,0.748,2865792.547,0.176954932,0.3952,No,0.205,0.64,0.987139,154281.235,0.053835451,48771.442,0.017018483
GOM2023A04,14.49744,120.98185,Mangrove Surface Litter,Mangrove,National Capital Region (NCR),Metro Manila,City of Las Piñas,Yes,2019,TRUE,852.5672451,66,351.9499000,5/1/19,6/1/19,Southeast,1.05064841,1.143050105,1.05064841,38.70777709,16.22582791,18,Marikina_Pasig,3960.9763,7.2246151,204.45786,2280.5215,767,87.473007,0.81186181,0.97594637,0.5123232,18546.74212,"13,484,462",0.02,0.849,6294194.685,0.466773883,0.352,Yes,0.147,0.605,0.998602,442.597,7.03183E-05,113000.796,0.017953178
GOM2023A05,14.588967,120.954459,Beach Surface Litter,Beach,National Capital Region (NCR),Metro Manila,City of Manila,Yes,2019,TRUE,852.5672451,42,1152.5930000,5/1/19,6/1/19,Southeast,1.127617512,1.074687742,1.074687742,29.00838839,12.80982435,18,Marikina_Pasig,3960.9763,7.2246151,204.45786,2280.5215,767,87.473007,0.81186181,0.97594637,0.5123232,73919.65572,"13,484,462",0.03,0.849,6294194.685,0.466773883,0.352,Yes,0.187,0.605,0.998602,442.597,7.03183E-05,113000.796,0.017953178
INO2022A01,8.5664,126.1627,Beach Surface Litter,Beach,Region XIII (Caraga Region),Surigao del Sur,Barobo,No,2021,FALSE,705.7901024,37,16.3958000,7/10/21,8/12/21,Southeast,7.10099414,6.494542147,6.494542147,23.79468503,22.61068222,24,Hinatuan,309.19431,6.8792214,60.653313,156.11769,71,33.819283,0.58668691,0.91923964,0.54392779,219.1587629,"2,804,788",0.31,0.541,331856.215,0.118317753,0.4474,No,0.222,0.678,0.962596,44613.563,0.134436425,6475.037,0.019511574
INO2022A02,8.56359,126.1758,Beach Surface Litter,Beach,Region XIII (Caraga Region),Surigao del Sur,Barobo,No,2021,FALSE,705.7901024,44,16.3958000,7/10/21,8/12/21,Southeast,8.57153131,6.848988859,6.848988859,24.83449055,24.08276284,24,Hinatuan,309.19431,6.8792214,60.653313,156.11769,71,33.819283,0.58668691,0.91923964,0.54392779,219.1587629,"2,804,788",0.31,0.541,331856.215,0.118317753,0.4474,No,0.222,0.678,0.962596,44613.563,0.134436425,6475.037,0.019511574
INO2022A03,8.53626,126.139,Beach Surface Litter,Beach,Region XIII (Caraga Region),Surigao del Sur,Barobo,No,2021,FALSE,705.7901024,18,16.3958000,7/10/21,8/12/21,Southeast,6.119893951,6.768031837,6.119893951,25.5886918,20.83606873,24,Hinatuan,309.19431,6.8792214,60.653313,156.11769,71,33.819283,0.58668691,0.91923964,0.54392779,219.1587629,"2,804,788",0.31,0.541,331856.215,0.118317753,0.4474,No,0.222,0.678,0.962596,44613.563,0.134436425,6475.037,0.019511574
INO2022A04,8.54883,126.2374,Beach Surface Litter,Beach,Region XIII (Caraga Region),Surigao del Sur,Barobo,No,2021,FALSE,705.7901024,12,16.3958000,7/10/21,8/12/21,Southeast,3.475523568,2.41702052,2.41702052,30.33882872,31.03735692,24,Hinatuan,309.19431,6.8792214,60.653313,156.11769,71,33.819283,0.58668691,0.91923964,0.54392779,219.1587629,"2,804,788",0.31,0.541,331856.215,0.118317753,0.4474,No,0.222,0.678,0.962596,44613.563,0.134436425,6475.037,0.019511574
KAL2019A01,8.518222222,124.5823056,Beach Surface Litter,Beach,Region X (Northern Mindanao),Misamis Oriental,Opol,No,2018,FALSE,624.5730825,16,33.1635000,2018-04-00,2018-04-00,Northeast,0.574883188,3.270928698,0.574883188,58.00199526,12.83188867,58,Iponan,417.21909,19.342167,219.24884,182.59488,72,40.680443,0.56656724,0.83336991,0.59997368,378.7300862,"5,022,768",0.21,0.708,821122.015,0.163479981,0.4059,No,0.19,0.663,0.969305,173541.351,0.211346606,22601.355,0.027524965
KAL2019A02,8.518186111,124.5823944,Beach Surface Litter,Beach,Region X (Northern Mindanao),Misamis Oriental,Opol,No,2018,FALSE,624.5730825,12,33.1635000,2018-04-00,2018-04-00,Northeast,0.585171269,3.260839739,0.585171269,57.99290936,12.830059,58,Iponan,417.21909,19.342167,219.24884,182.59488,72,40.680443,0.56656724,0.83336991,0.59997368,378.7300862,"5,022,768",0.21,0.708,821122.015,0.163479981,0.4059,No,0.19,0.663,0.969305,173541.351,0.211346606,22601.355,0.027524965
