Station_Code,latitude,longitude,Hub distance end point_latitude,Hub distance end point_longitude,Hub distance end point_HubName_mouth,Hub distance end point_dist_to_mouth_m,Hub distance start point_latitude,Hub distance start point_longitude,Hub distance start point_HubName_head,Hub distance start point_dist_to_headwater_m,Hub distance KBA_latitude,Hub distance KBA_longitude,Hub distance KBA_Hub distance end point_latitude,Hub distance KBA_Hub distance end point_longitude,Hub distance KBA_Hub distance end point_HubName_mouth,Hub distance KBA_Hub distance end point_dist_to_mouth_m,Hub distance KBA_Hub distance start point_latitude,Hub distance KBA_Hub distance start point_longitude,Hub distance KBA_Hub distance start point_HubName_head,Hub distance KBA_Hub distance start point_dist_to_headwater_m,Hub distance KBA_HubName,Hub distance KBA_HubDist
ESQ2020A11,8.480167,124.722278,8.480167,124.722278,,1738.54864931223,8.480167,124.722278,"297",1241.39062771148,8.480167,124.722278,8.480167,124.722278,,1738.54864931223,8.480167,124.722278,"297",1241.39062771148,Mount Tago Range,42754.154538672
ESQ2020A12,8.480139,124.72225,8.480139,124.72225,,1734.36073351208,8.480139,124.72225,"297",1245.64228923475,8.480139,124.72225,8.480139,124.72225,,1734.36073351208,8.480139,124.72225,"297",1245.64228923475,Mount Tago Range,42755.7945938149
GAB2022A01,8.301472222,124.2540556,8.301472222,124.2540556,,818.950051750676,8.301472222,124.2540556,"32",4610.8871811625,8.301472222,124.2540556,8.301472222,124.2540556,,818.950051750676,8.301472222,124.2540556,"32",4610.8871811625,Munai / Tambo,43286.9953474461
GAB2022A02,8.265361111,124.2498611,8.265361111,124.2498611,Mandulog River,921.359290312667,8.265361111,124.2498611,"206",1646.54954307167,8.265361111,124.2498611,8.265361111,124.2498611,Mandulog River,921.359290312667,8.265361111,124.2498611,"206",1646.54954307167,Munai / Tambo,39789.0000975781
GAB2022A03,8.213888889,124.2234444,8.213888889,124.2234444,Agos  River,3936.56816664603,8.213888889,124.2234444,"201",1911.36394671098,8.213888889,124.2234444,8.213888889,124.2234444,Agos  River,3936.56816664603,8.213888889,124.2234444,"201",1911.36394671098,Munai / Tambo,33521.5402046471
GAB2022A04,8.195638889,124.1835278,8.195638889,124.1835278,Agos  River,922.437700019853,8.195638889,124.1835278,"194",1867.08381756768,8.195638889,124.1835278,8.195638889,124.1835278,Agos  River,922.437700019853,8.195638889,124.1835278,"194",1867.08381756768,Munai / Tambo,29242.3271832272
GOM2023A01,14.28523,120.70441,14.28523,120.70441,,853.401930577038,14.28523,120.70441,"0",593.852511121891,14.28523,120.70441,14.28523,120.70441,,853.401930577038,14.28523,120.70441,"0",593.852511121891,Mounts Palay-Palay-Mataas Na Gulod National Park,5383.38740900194
GOM2023A02,14.324969,120.754345,14.324969,120.754345,,4263.2047802116,14.324969,120.754345,"0",739.53672581715,14.324969,120.754345,14.324969,120.754345,,4263.2047802116,14.324969,120.754345,"0",739.53672581715,Mounts Palay-Palay-Mataas Na Gulod National Park,12313.6006331624
GOM2023A03,14.442292,120.875152,14.442292,120.875152,,228.760128388982,14.442292,120.875152,"0",143.358840514729,14.442292,120.875152,14.442292,120.875152,,228.760128388982,14.442292,120.875152,"0",143.358840514729,Mounts Palay-Palay-Mataas Na Gulod National Park,30698.2399231463
GOM2023A04,14.49744,120.98185,14.49744,120.98185,,1050.64841048476,14.49744,120.98185,"0",1143.05010539831,14.49744,120.98185,14.49744,120.98185,,1050.64841048476,14.49744,120.98185,"0",1143.05010539831,Manila Bay,38707.7770888164
GOM2023A05,14.588967,120.954459,14.588967,120.954459,Pasig  River,1127.61751173684,14.588967,120.954459,"0",1074.6877418265,14.588967,120.954459,14.588967,120.954459,Pasig  River,1127.61751173684,14.588967,120.954459,"0",1074.6877418265,Manila Bay,29008.3883917355
INO2022A01,8.5664,126.1627,8.5664,126.1627,,7100.99413976151,8.5664,126.1627,"503",6494.54214719312,8.5664,126.1627,8.5664,126.1627,,7100.99413976151,8.5664,126.1627,"503",6494.54214719312,Mount Diwata Range,23794.6850273635
INO2022A02,8.56359,126.1758,8.56359,126.1758,,8571.53131028231,8.56359,126.1758,"352",6848.98885915192,8.56359,126.1758,8.56359,126.1758,,8571.53131028231,8.56359,126.1758,"352",6848.98885915192,Mount Diwata Range,24834.4905471734
INO2022A03,8.53626,126.139,8.53626,126.139,,6119.89395145581,8.53626,126.139,"503",6768.03183667684,8.53626,126.139,8.53626,126.139,,6119.89395145581,8.53626,126.139,"503",6768.03183667684,Mount Diwata Range,25588.6917988823
INO2022A04,8.54883,126.2374,8.54883,126.2374,,3475.52356766888,8.54883,126.2374,"504",2417.02052018869,8.54883,126.2374,8.54883,126.2374,,3475.52356766888,8.54883,126.2374,"504",2417.02052018869,Mount Diwata Range,30338.8287220826
KAL2019A01,8.518222222,124.5823056,8.518222222,124.5823056,,574.883188101174,8.518222222,124.5823056,"246",3270.92869755605,8.518222222,124.5823056,8.518222222,124.5823056,,574.883188101174,8.518222222,124.5823056,"246",3270.92869755605,Mount Kitanglad,58001.9952633672
KAL2019A02,8.518186111,124.5823944,8.518186111,124.5823944,,585.171269251967,8.518186111,124.5823944,"246",3260.83973854437,8.518186111,124.5823944,8.518186111,124.5823944,,585.171269251967,8.518186111,124.5823944,"246",3260.83973854437,Mount Kitanglad,57992.9093555528
KAL2019A03,8.518169444,124.5824722,8.518169444,124.5824722,,593.245607835324,8.518169444,124.5824722,"246",3252.14620008214,8.518169444,124.5824722,8.518169444,124.5824722,,593.245607835324,8.518169444,124.5824722,"246",3252.14620008214,Mount Kitanglad,57986.2695400972
KAL2019A04,8.571555556,124.5129167,8.571555556,124.5129167,,2161.82737650332,8.571555556,124.5129167,"231",3513.77820558293,8.571555556,124.5129167,8.571555556,124.5129167,,2161.82737650332,8.571555556,124.5129167,"231",3513.77820558293,Mount Balatukan,63768.4191317864
KAL2019A05,8.571755556,124.5126778,8.571755556,124.5126778,,2195.98010244842,8.571755556,124.5126778,"231",3516.32443356326,8.571755556,124.5126778,8.571755556,124.5126778,,2195.98010244842,8.571755556,124.5126778,"231",3516.32443356326,Mount Balatukan,63787.6127115196
KAL2019A06,8.571844444,124.5126417,8.571844444,124.5126417,,2204.75424488373,8.571844444,124.5126417,"231",3522.02560189401,8.571844444,124.5126417,8.571844444,124.5126417,,2204.75424488373,8.571844444,124.5126417,"231",3522.02560189401,Mount Balatukan,63788.7300597674
KAL2019A07,8.589941667,124.4732667,8.589941667,124.4732667,Lipatan River,1786.63157891734,8.589941667,124.4732667,"231",5386.09464416641,8.589941667,124.4732667,8.589941667,124.4732667,Lipatan River,1786.63157891734,8.589941667,124.4732667,"231",5386.09464416641,Mount Balatukan,67477.7516087378
KAL2019A08,8.589702778,124.472875,8.589702778,124.472875,Lipatan River,1819.09077683385,8.589702778,124.472875,"231",5380.7993636118,8.589702778,124.472875,8.589702778,124.472875,Lipatan River,1819.09077683385,8.589702778,124.472875,"231",5380.7993636118,Mount Balatukan,67525.7975091978
KAL2019A09,8.588938889,124.4752417,8.588938889,124.4752417,Lipatan River,1545.20989918225,8.588938889,124.4752417,"231",5195.2741885598,8.588938889,124.4752417,8.588938889,124.4752417,Lipatan River,1545.20989918225,8.588938889,124.4752417,"231",5195.2741885598,Mount Balatukan,67291.9198900334
PAC2022A01,7.8181,123.7127,7.8181,123.7127,,1631.49741677035,7.8181,123.7127,"0",2371.10703977337,7.8181,123.7127,7.8181,123.7127,,1631.49741677035,7.8181,123.7127,"0",2371.10703977337,Munai / Tambo,39304.1179402258
PAC2022A02,7.8164,123.6917,7.8164,123.6917,,2752.25498183468,7.8164,123.6917,"0",959.432921004411,7.8164,123.6917,7.8164,123.6917,,2752.25498183468,7.8164,123.6917,"0",959.432921004411,Munai / Tambo,41460.7629067277
PAC2022A03,7.7932,123.7254,7.7932,123.7254,,2598.86710550034,7.7932,123.7254,"0",589.988400671434,7.7932,123.7254,7.7932,123.7254,,2598.86710550034,7.7932,123.7254,"0",589.988400671434,Munai / Tambo,39434.0329160507
PAC2022A04,7.7646,123.7395,7.7646,123.7395,,2815.29600055126,7.7646,123.7395,"0",3807.97129996022,7.7646,123.7395,7.7646,123.7395,,2815.29600055126,7.7646,123.7395,"0",3807.97129996022,Munai / Tambo,39922.0794208582
PAL2019A01,13.980147,120.630093,13.980147,120.630093,,3684.84900587269,13.980147,120.630093,"0",1196.23392549071,13.980147,120.630093,13.980147,120.630093,,3684.84900587269,13.980147,120.630093,"0",1196.23392549071,Mounts Palay-Palay-Mataas Na Gulod National Park,30165.992587942
PAL2022A01,9.717665,123.464748,9.717665,123.464748,,758.446115796163,9.717665,123.464748,"0",687.989567616151,9.717665,123.464748,9.717665,123.464748,,758.446115796163,9.717665,123.464748,"0",687.989567616151,Mount Kangbulagsing and Mount Lanaya,12742.6212556947
PAL2022A02,9.841909,123.419511,9.841909,123.419511,,741.129598087368,9.841909,123.419511,"0",1526.22474676468,9.841909,123.419511,9.841909,123.419511,,741.129598087368,9.841909,123.419511,"0",1526.22474676468,Nug-as and Mount Lantoy,15688.4382080931
PAL2022A03,10.480374,123.775069,10.480374,123.775069,,503.630630598738,10.480374,123.775069,"0",5178.01890358338,10.480374,123.775069,10.480374,123.775069,,503.630630598738,10.480374,123.775069,"0",5178.01890358338,Central Cebu (including Tabunan),12221.1487801673
PAL2022A04,10.112797,123.530685,10.112797,123.530685,,1022.1577817495,10.112797,123.530685,"0",744.155681630426,10.112797,123.530685,10.112797,123.530685,,1022.1577817495,10.112797,123.530685,"0",744.155681630426,Nug-as and Mount Lantoy,23632.0807315666
PAL2022A05,11.025159,123.997823,11.025159,123.997823,,125.781273168278,11.025159,123.997823,"0",1165.23942817713,11.025159,123.997823,11.025159,123.997823,,125.781273168278,11.025159,123.997823,"0",1165.23942817713,Mount Capayas,48880.9612021018
PAL2022A06,10.400561,123.948996,10.400561,123.948996,,1371.23048393544,10.400561,123.948996,"0",795.370228550114,10.400561,123.948996,10.400561,123.948996,,1371.23048393544,10.400561,123.948996,"0",795.370228550114,"Mactan, Kalawisan and Cansaga Bays",8136.67897319033
PAL2022A07,10.340974,123.94301,10.340974,123.94301,,4142.49334061984,10.340974,123.94301,"0",2382.74001967614,10.340974,123.94301,10.340974,123.94301,,4142.49334061984,10.340974,123.94301,"0",2382.74001967614,"Mactan, Kalawisan and Cansaga Bays",3195.59177508758
PAL2022A08,10.121941,123.632131,10.121941,123.632131,,2047.92702854009,10.121941,123.632131,"0",1714.13456422203,10.121941,123.632131,10.121941,123.632131,,2047.92702854009,10.121941,123.632131,"0",1714.13456422203,Nug-as and Mount Lantoy,26147.7599841204
PAL2022A09,10.608895,123.975982,10.608895,123.975982,,1985.72067582114,10.608895,123.975982,"0",920.541205736185,10.608895,123.975982,10.608895,123.975982,,1985.72067582114,10.608895,123.975982,"0",920.541205736185,Mount Capayas,6472.94798540018
PAL2022A10,11.220019,124.018067,11.220019,124.018067,,2363.46516699929,11.220019,124.018067,"0",646.342152854487,11.220019,124.018067,11.220019,124.018067,,2363.46516699929,11.220019,124.018067,"0",646.342152854487,Biliran and Maripipi Island,65970.3398245304
PAL2022A11,11.144488,123.986322,11.144488,123.986322,,1093.40504295292,11.144488,123.986322,"0",1286.34549109247,11.144488,123.986322,11.144488,123.986322,,1093.40504295292,11.144488,123.986322,"0",1286.34549109247,Mount Capayas,61761.1715240428
PAL2022A12,10.266548,123.617942,10.266548,123.617942,,802.770176080618,10.266548,123.617942,"0",1620.3984932493,10.266548,123.617942,10.266548,123.617942,,802.770176080618,10.266548,123.617942,"0",1620.3984932493,Central Cebu (including Tabunan),20207.1544259749
PAL2022A13,10.983521,123.940712,10.983521,123.940712,,930.710428431398,10.983521,123.940712,"0",1354.58979679288,10.983521,123.940712,10.983521,123.940712,,930.710428431398,10.983521,123.940712,"0",1354.58979679288,Mount Capayas,43587.508694658
PAL2022A14,10.030107,123.58191,10.030107,123.58191,,212.751044440261,10.030107,123.58191,"0",1708.39937944892,10.030107,123.58191,10.030107,123.58191,,212.751044440261,10.030107,123.58191,"0",1708.39937944892,Nug-as and Mount Lantoy,14810.0740338159
PLT2022A01,16.3342285,119.789863,16.3342285,119.789863,,1972.40377851092,16.3342285,119.789863,"0",3429.04744615223,16.3342285,119.789863,16.3342285,119.789863,,1972.40377851092,16.3342285,119.789863,"0",3429.04744615223,Zambales mountains,90869.8331458823
PLT2022A02,16.3338885,119.789541,16.3338885,119.789541,,2023.37404876446,16.3338885,119.789541,"0",3448.87262171875,16.3338885,119.789541,16.3338885,119.789541,,2023.37404876446,16.3338885,119.789541,"0",3448.87262171875,Zambales mountains,90851.6566197205
PLT2022A03,13.804202,120.911121,13.804202,120.911121,,706.675051892755,13.804202,120.911121,"0",85.8751058274018,13.804202,120.911121,13.804202,120.911121,,706.675051892755,13.804202,120.911121,"0",85.8751058274018,Taal Volcano Protected Landscape,24712.4747406191
PLT2022A04,13.804473,120.912174,13.804473,120.912174,,592.314166331907,13.804473,120.912174,"0",134.31185980655,13.804473,120.912174,13.804473,120.912174,,592.314166331907,13.804473,120.912174,"0",134.31185980655,Taal Volcano Protected Landscape,24640.7875048628
