Station_Code,latitude,longitude,dist_to_endpoint_m,dist_to_startpoint_m,KBA_dist_m,landfill_dist_m,KBA_Hub,landfill_Hub
REI2022A01,10.816072,115.822639,279879.8586,278912.2618,296990.1237,291577.9779,Mount Mantalingahan,Municipal Sanitary Landfill Project
REI2022A02,10.817133,115.823428,279897.9334,278932.0408,297010.7551,291581.9821,Mount Mantalingahan,Municipal Sanitary Landfill Project
REI2022A03,10.730883,115.803008,275086.251,274019.5632,292040.0329,287619.8055,Mount Mantalingahan,Municipal Sanitary Landfill Project
REI2022A04,10.734292,115.802667,275365.0647,274301.4083,292323.8593,287872.4349,Mount Mantalingahan,Municipal Sanitary Landfill Project
REQ2022A01,8.615277778,123.4025,916.9897752,666.0118434,32751.08343,16538.38712,Mount Dapiak-Mount Paraya,Dapitan Sanitary Landfill
REQ2022A02,8.614166667,123.3977778,1049.315285,438.3580973,32593.18992,16701.25269,Mount Dapiak-Mount Paraya,Dapitan Sanitary Landfill
REQ2022A03,8.623611111,123.3936111,243.5004643,300.6181184,33612.32842,17831.06177,Mount Dapiak-Mount Paraya,Dapitan Sanitary Landfill
RUB2022A0X,14.3624463,120.9498504,115.2038435,858.9324309,32655.72159,4501.772006,Mounts Palay-Palay-Mataas Na Gulod National Park,LGU of Dasmarinas
RUB2022A0Y,14.3624463,120.9498504,115.2038435,858.9324309,32655.72159,4501.772006,Mounts Palay-Palay-Mataas Na Gulod National Park,LGU of Dasmarinas
SAJ2021A01,10.018117,119.07695,497.5561308,1975.345534,24045.05855,41950.97002,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,Roxas Sanitary  Landfill
SAJ2021A02,10.004183,119.03015,218.3700918,1605.722237,21957.98943,46466.07889,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,Roxas Sanitary  Landfill
SAJ2021A03,9.984567,118.951917,1826.195667,4659.164183,20806.6634,54081.37284,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,Roxas Sanitary  Landfill
SAJ2021A04,9.981,118.8856,2768.419717,2100.308349,21242.31119,59899.54441,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,Roxas Sanitary  Landfill
SAJ2021A05,9.7509,118.772317,6802.2915,6550.744324,49102.75894,86247.58512,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,Roxas Sanitary  Landfill
SAJ2021A06,9.7509,118.772,6777.679473,6523.959108,49114.23346,86271.64632,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,Roxas Sanitary  Landfill
SAJ2021A07,9.750983,118.772367,6799.713375,6549.139153,49092.28349,86237.16045,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,Roxas Sanitary  Landfill
SAJ2021A08,9.660433,118.74025,172.5344507,55.98051193,57433.52045,96008.23767,Victoria and Anepahan Ranges,Roxas Sanitary  Landfill
SAJ2021A09,9.606767,118.701583,3976.139992,477.6687205,50615.43105,97758.81381,Rasa Island Wildlife Sanctuary,Municipal Sanitary Landfill Project
SAJ2021A10,9.57165,118.68055,3874.377771,447.6637796,46108.2123,93924.72455,Rasa Island Wildlife Sanctuary,Municipal Sanitary Landfill Project
SAJ2021A11,9.544417,118.653483,1323.961418,462.9372015,41942.689,89929.24049,Rasa Island Wildlife Sanctuary,Municipal Sanitary Landfill Project
SAJ2021A12,10.197717,118.9028,3315.602319,754.5383344,3598.752156,47146.24616,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,Roxas Sanitary  Landfill
SAJ2021A13,10.075633,118.818217,4042.73226,2823.080226,15276.98583,60655.90934,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,Roxas Sanitary  Landfill
SAJ2021A14,10.073283,118.816283,4378.09894,3010.850784,15609.44831,60959.97572,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,Roxas Sanitary  Landfill
